Review,Score,"Are there ways for you to generate more data? Spliting up sentences, would that help?",Language
Disgusting.,1,,English
Loved the sambal kick!,10,,English
Loved the sambal kick!,0.1,,English
Loved the sambal kick!,5,,English
"Satay on pizza? Surprisingly worked. Tasty, unique, would try again.",7,,English
Mayo was too sweet. Didn't enjoy it at all.,3,,English
"Spicy sambal was overwhelming for me, but the satay chicken saved it. Crust was decent.",6,,English
"Crust was soggy, and the satay sauce didn’t help. Sambal was okay but not balanced.",4,,English
Super creative! Sambal slice was fiery and bold. Satay was rich and satisfying. Mayo one felt unnecessary but not terrible.,7,,English
"The sambal slice burned my mouth in the best way. Satay chicken was tender and flavorful, perfect with the peanut sauce. Mayo could’ve been left off, honestly—it clashed with the rest. Still, the crust was crispy and the ingredients felt fresh. I'd definitely order again, especially for the satay.",8,,English
Just weird.,2,,English
Incredible mix of flavors. Satay on pizza is a genius idea.,9,,English
Sambal overwhelmed everything else.,4,,English
Satay chicken worked well on pizza. Creative but not for everyone.,6,,English
"Enjoyed every bite, especially the satay one.",8,,English
Disgusting.,2,,English
Mayonnaise flavor felt out of place. Wouldn’t order again.,4,,English
"The sambal slice burned my mouth in the best way. Satay chicken was tender and flavorful, perfect with the peanut sauce. Mayo could’ve been left off, honestly—it clashed with the rest. Still, the crust was crispy and the ingredients felt fresh. I'd definitely order again, especially for the satay.",8,,English
Meh.,5,,English
"Crust was thin and crispy, just right.",6,,English
Too spicy.,4,,English
Loved the satay and sambal combo. Nice balance of spice and sweetness. Sambal kick was intense but enjoyable.,9,,English
Review,Score,Really?,Come on ...
Sambal overwhelmed everything else.,4,,English
Satay chicken worked well on pizza. Creative but not for everyone.,6,,English
"Enjoyed every bite, especially the satay one.",8,,English
Disgusting.,2,,English
Mayonnaise flavor felt out of place. Wouldn’t order again.,4,,English
"The sambal slice burned my mouth in the best way. Satay chicken was tender and flavorful, perfect with the peanut sauce. Mayo could’ve been left off, honestly—it clashed with the rest. Still, the crust was crispy and the ingredients felt fresh. I'd definitely order again, especially for the satay.",8,,English
Meh.,5,,English
"Crust was thin and crispy, just right.",6,,English
Too spicy.,4,,English
Loved the satay and sambal combo. Nice balance of spice and sweetness. Sambal kick was intense but enjoyable.,9,,English
"What a surprise! Satay on a pizza shouldn’t work, but it does here. Sambal added just enough heat without being overpowering. Mayo slice was forgettable, but the others made up for it. Will return for the satay!",8,,English
Overhyped.,4,,English
Nice balance of spice and sweetness. Satay chicken worked well on pizza.,7,,English
So good!,9,,English
Gross.,2,,English
Creative but not for everyone.,5,,English
Perfect crust.,9,,English
Just weird.,3,,English
"Crust was thin and crispy, just right. Enjoyed every bite, especially the satay one.",8,,English
Too spicy.,4,,English
"Not my favorite. The sambal was too spicy, the satay chicken felt dry, and the mayo topping was just weird. The crust was okay, but the flavors didn’t come together at all.",4,,English
Loved it!,10,,English
Amazing!,9,,English
Wouldn’t order again.,3,,English
Sambal kick was intense but enjoyable. Mayonnaise flavor felt out of place. Creative but not for everyone.,6,,English
"The sambal slice burned my mouth in the best way. Satay chicken was tender and flavorful, perfect with the peanut sauce. Mayo could’ve been left off, honestly—it clashed with the rest. Still, the crust was crispy and the ingredients felt fresh. I'd definitely order again, especially for the satay.",9,,English
"Mayonnaise flavor felt out of place. Crust was thin and crispy, just right.",5,,English
"Crust was thin and crispy, just right. Enjoyed every bite, especially the satay one. Satay chicken worked well on pizza.",8,,English
Satay chicken worked well on pizza. Creative but not for everyone.,6,,English
Gross.,1,,English
Loved the satay and sambal combo. Sambal kick was intense but enjoyable.,9,,English
"Crust was thin and crispy, just right. Nice balance of spice and sweetness.",7,,English
Creative but not for everyone. Wouldn’t order again.,4,,English
Just weird.,2,,English
Too spicy.,3,,English
"Enjoyed every bite, especially the satay one.",9,,English
"Sambal overwhelmed everything else. Crust was thin and crispy, just right.",5,,English
Amazing!,10,,English
"Crust was thin and crispy, just right. Sambal kick was intense but enjoyable.",8,,English
Meh.,4,,English
Mayonnaise flavor felt out of place. Wouldn’t order again. Creative but not for everyone.,5,,English
"Not my favorite. The sambal was too spicy, the satay chicken felt dry, and the mayo topping was just weird. The crust was okay, but the flavors didn’t come together at all.",3,,English
Nice balance of spice and sweetness.,7,,English
